Calpeptin_400uM_in_WT_24uM_28C_X,Calpeptin_400uM_in_WT_24uM_28C_Y
17.083333,9.71236
17.1,9.71256
17.116667,9.71249
17.133333,9.71265
17.15,9.71308
17.166667,9.71328
17.183333,9.71333
17.2,9.71326
17.216667,9.71324
17.233333,9.71317
17.25,9.71316
17.266667,9.71334
17.283333,9.71366
17.3,9.71402
17.316667,9.71428
17.333333,9.71423
17.35,9.71409
17.366667,9.71415
17.383333,9.71428
17.4,9.71444
17.416667,9.71444
17.433333,9.71437
17.45,9.7144
17.466667,9.7146
17.483333,9.71486
17.5,9.71527
17.516667,9.71573
17.533333,9.7162
17.55,9.71647
17.566667,9.71663
17.583333,9.71663
17.6,9.7164
17.616667,9.71619
17.633333,9.71604
17.65,9.71595
17.666667,9.71601
17.683333,9.71609
17.7,9.71601
17.716667,9.71577
17.733333,9.71568
17.75,9.71576
17.766667,9.71595
17.783333,9.71617
17.8,9.71612
17.816667,9.7159
17.833333,9.71559
17.85,9.71505
17.866667,9.71423
17.883333,9.71376
17.9,9.71377
17.916667,9.71404
17.933333,9.71435
17.95,9.71461
17.966667,9.71502
17.983333,9.71528
18,9.71532
18.016667,9.71512
18.033333,9.7152
18.05,9.71482
18.066667,9.71487
18.083333,9.71485
18.1,9.71465
18.116667,9.71433
18.133333,9.71404
18.15,9.71392
18.166667,9.71386
18.183333,9.71408
18.2,9.71462
18.216667,9.71499
18.233333,9.7149
18.25,9.71453
18.266667,9.71426
18.283333,9.71387
18.3,9.71349
18.316667,9.71315
18.333333,9.71299
18.35,9.71295
18.366667,9.71298
18.383333,9.71263
18.4,9.71268
18.416667,9.71278
18.433333,9.71215
18.45,9.71098
18.466667,9.71027
18.483333,9.71001
18.5,9.71015
18.516667,9.70994
18.533333,9.71069
18.55,9.70475
18.566667,9.69683
18.583333,9.68532
18.6,9.67926
18.616667,9.67728
18.633333,9.67291
18.65,9.66945
18.666667,9.66725
18.683333,9.66517
18.7,9.66693
18.716667,9.66879
18.733333,9.67039
18.75,9.67064
18.766667,9.67042
18.783333,9.6742
18.8,9.67847
18.816667,9.68101
18.833333,9.68493
18.85,9.68981
18.866667,9.69401
18.883333,9.69583
18.9,9.69658
18.916667,9.69811
18.933333,9.69967
18.95,9.70049
18.966667,9.70152
18.983333,9.70291
19,9.70461
19.016667,9.70623
19.033333,9.70661
19.05,9.70698
19.066667,9.70716
19.083333,9.70723
19.1,9.70749
19.116667,9.70798
19.133333,9.70858
19.15,9.70951
19.166667,9.71045
19.183333,9.71111
19.2,9.71153
19.216667,9.71175
19.233333,9.71182
19.25,9.7118
19.266667,9.71207
19.283333,9.71238
19.3,9.71247
19.316667,9.71255
19.333333,9.71287
19.35,9.71324
19.366667,9.71382
19.383333,9.71442
19.4,9.71476
19.416667,9.71488
19.433333,9.71475
19.45,9.71447
19.466667,9.7141
19.483333,9.7136
19.5,9.71335
19.516667,9.71313
19.533333,9.71303
19.55,9.71307
19.566667,9.71347
19.583333,9.71425
19.6,9.71499
19.616667,9.71559
19.633333,9.71619
19.65,9.71678
19.666667,9.71692
19.683333,9.71692
19.7,9.71686
19.716667,9.71683
19.733333,9.71687
19.75,9.71706
19.766667,9.7172
19.783333,9.71753
19.8,9.7179
19.816667,9.71818
