Calpeptin_400uM_in_Q256A_24uM_28C_2_X,Calpeptin_400uM_in_Q256A_24uM_28C_2_Y
19.116667,9.76552
19.133333,9.76541
19.15,9.76568
19.166667,9.76633
19.183333,9.76714
19.2,9.76779
19.216667,9.76792
19.233333,9.76786
19.25,9.76794
19.266667,9.76843
19.283333,9.76961
19.3,9.77162
19.316667,9.77403
19.333333,9.77588
19.35,9.77751
19.366667,9.77924
19.383333,9.78068
19.4,9.78215
19.416667,9.78442
19.433333,9.78682
19.45,9.78737
19.466667,9.78515
19.483333,9.78429
19.5,9.78524
19.516667,9.78651
19.533333,9.78815
19.55,9.78928
19.566667,9.78877
19.583333,9.79004
19.6,9.78961
19.616667,9.78765
19.633333,9.78779
19.65,9.78793
19.666667,9.78731
19.683333,9.78591
19.7,9.78419
19.716667,9.78263
19.733333,9.7815
19.75,9.78102
19.766667,9.78089
19.783333,9.78052
19.8,9.77985
19.816667,9.77885
19.833333,9.77803
19.85,9.77716
19.866667,9.77626
19.883333,9.77578
19.9,9.77593
19.916667,9.77638
19.933333,9.77689
19.95,9.77759
19.966667,9.77806
19.983333,9.7791
20,9.78
20.016667,9.78096
20.033333,9.78253
20.05,9.78459
20.066667,9.78414
20.083333,9.78345
20.1,9.78407
20.116667,9.78454
20.133333,9.78461
20.15,9.78465
20.166667,9.7846
20.183333,9.7848
20.2,9.78456
20.216667,9.78441
20.233333,9.78374
20.25,9.78275
20.266667,9.78157
20.283333,9.78028
20.3,9.77909
20.316667,9.77806
20.333333,9.77695
20.35,9.77598
20.366667,9.77535
20.383333,9.77522
20.4,9.77595
20.416667,9.77683
20.433333,9.77762
20.45,9.77866
20.466667,9.77988
20.483333,9.78106
20.5,9.78178
20.516667,9.78221
20.533333,9.78205
20.55,9.78231
20.566667,9.78245
20.583333,9.78189
20.6,9.78144
20.616667,9.78122
20.633333,9.78112
20.65,9.78119
20.666667,9.78183
20.683333,9.78185
20.7,9.78226
20.716667,9.78266
20.733333,9.78247
20.75,9.7817
20.766667,9.78089
20.783333,9.78027
20.8,9.77951
20.816667,9.7787
20.833333,9.77853
20.85,9.77897
20.866667,9.77934
