Calpeptin_400uM_in_N214A_24uM_28C_X,Calpeptin_400uM_in_N214A_24uM_28C_Y
19.366667,9.47521
19.383333,9.47537
19.4,9.4757
19.416667,9.47612
19.433333,9.47691
19.45,9.47771
19.466667,9.47819
19.483333,9.4784
19.5,9.47855
19.516667,9.47895
19.533333,9.47909
19.55,9.47884
19.566667,9.47802
19.583333,9.47778
19.6,9.47776
19.616667,9.47776
19.633333,9.47779
19.65,9.47731
19.666667,9.47689
19.683333,9.47688
19.7,9.47689
19.716667,9.47656
19.733333,9.47663
19.75,9.47651
19.766667,9.47625
19.783333,9.47576
19.8,9.47559
19.816667,9.47526
19.833333,9.47493
19.85,9.47474
19.866667,9.47505
19.883333,9.47521
19.9,9.47537
19.916667,9.47562
19.933333,9.4757
19.95,9.47612
19.966667,9.4767
19.983333,9.47686
20,9.47658
20.016667,9.47661
20.033333,9.4769
20.05,9.47718
20.066667,9.47731
20.083333,9.47722
20.1,9.47716
20.116667,9.47704
20.133333,9.47736
20.15,9.4778
20.166667,9.47812
20.183333,9.47843
20.2,9.47882
20.216667,9.47923
20.233333,9.47945
20.25,9.47945
20.266667,9.47936
20.283333,9.47934
20.3,9.47956
20.316667,9.47983
20.333333,9.48012
20.35,9.48027
20.366667,9.48024
20.383333,9.48024
20.4,9.48018
20.416667,9.48003
20.433333,9.4798
20.45,9.47971
20.466667,9.47953
20.483333,9.47938
20.5,9.47951
20.516667,9.47959
20.533333,9.47958
20.55,9.4797
20.566667,9.47986
20.583333,9.47994
20.6,9.47999
20.616667,9.48017
20.633333,9.4803
20.65,9.48032
20.666667,9.48025
20.683333,9.48022
20.7,9.48019
20.716667,9.47998
20.733333,9.4797
20.75,9.47969
20.766667,9.47987
20.783333,9.48005
20.8,9.48022
20.816667,9.48044
20.833333,9.48058
20.85,9.48074
20.866667,9.48067
20.883333,9.48037
20.9,9.48051
20.916667,9.48059
20.933333,9.48081
20.95,9.48097
20.966667,9.48191
20.983333,9.48289
21,9.48464
21.016667,9.48596
21.033333,9.48301
21.05,9.47724
21.066667,9.47042
21.083333,9.46057
21.1,9.44085
21.116667,9.42442
21.133333,9.41526
21.15,9.41823
21.166667,9.42565
21.183333,9.43309
21.2,9.4392
21.216667,9.444
21.233333,9.44844
21.25,9.45231
21.266667,9.45497
21.283333,9.45699
21.3,9.46021
21.316667,9.46227
21.333333,9.46475
21.35,9.46721
21.366667,9.46953
21.383333,9.47132
21.4,9.47252
21.416667,9.4736
21.433333,9.47467
21.45,9.47574
21.466667,9.47633
21.483333,9.47689
21.5,9.47714
21.516667,9.47725
21.533333,9.4771
21.55,9.47732
21.566667,9.47737
21.583333,9.47756
21.6,9.47796
21.616667,9.47835
21.633333,9.47867
21.65,9.47874
21.666667,9.47857
21.683333,9.47834
21.7,9.47789
21.716667,9.47743
21.733333,9.47716
21.75,9.47685
21.766667,9.47658
21.783333,9.47644
21.8,9.47648
21.816667,9.47629
21.833333,9.47624
21.85,9.47646
21.866667,9.47679
21.883333,9.47719
21.9,9.47766
21.916667,9.47776
21.933333,9.47791
21.95,9.4775
21.966667,9.47726
21.983333,9.47706
22,9.47732
22.016667,9.47766
22.033333,9.47803
22.05,9.47883
22.066667,9.47954
22.083333,9.47992
22.1,9.48063
22.116667,9.48124
22.133333,9.48189
22.15,9.48221
22.166667,9.48204
22.183333,9.48199
22.2,9.48206
22.216667,9.48225
22.233333,9.48234
22.25,9.48252
22.266667,9.48284
22.283333,9.48347
22.3,9.48414
22.316667,9.48447
22.333333,9.48462
22.35,9.48467
22.366667,9.48468
22.383333,9.48458
22.4,9.48435
22.416667,9.4841
22.433333,9.48405
22.45,9.4843
22.466667,9.48463
22.483333,9.48514
22.5,9.48548
22.516667,9.48555
22.533333,9.48526
22.55,9.48495
22.566667,9.48472
22.583333,9.48437
22.6,9.48398
22.616667,9.48369
22.633333,9.48362
22.65,9.48366
22.666667,9.48377
22.683333,9.48387
22.7,9.4838
22.716667,9.48385
22.733333,9.4838
22.75,9.48382
22.766667,9.48361
22.783333,9.48336
22.8,9.48302
22.816667,9.48263
22.833333,9.48269
22.85,9.48312
22.866667,9.48363
22.883333,9.48383
22.9,9.48396
22.916667,9.4842
22.933333,9.48421
22.95,9.48403
22.966667,9.48383
22.983333,9.48379
23,9.48378
23.016667,9.4837
23.033333,9.48402
23.05,9.484
23.066667,9.48376
23.083333,9.48355
23.1,9.48343
23.116667,9.48319
23.133333,9.483
23.15,9.48288
23.166667,9.48244
23.183333,9.48214
23.2,9.48218
23.216667,9.48234
23.233333,9.48274
23.25,9.48362
23.266667,9.48362
23.283333,9.4834
23.3,9.48314
23.316667,9.48306
23.333333,9.48274
23.35,9.48215
23.366667,9.48206
23.383333,9.48204
23.4,9.48223
23.416667,9.48254
23.433333,9.48248
23.45,9.48084
23.466667,9.47826
23.483333,9.4768
23.5,9.47687
23.516667,9.4763
23.533333,9.47618
23.55,9.47421
23.566667,9.4702
23.583333,9.46041
23.6,9.44165
23.616667,9.42425
23.633333,9.41469
23.65,9.41823
23.666667,9.43225
23.683333,9.44468
23.7,9.45533
23.716667,9.46001
23.733333,9.46248
23.75,9.4644
23.766667,9.46702
23.783333,9.46808
23.8,9.46812
23.816667,9.46869
23.833333,9.4702
23.85,9.47113
23.866667,9.47193
23.883333,9.47268
23.9,9.47328
23.916667,9.47357
23.933333,9.47403
