Calpeptin_400uM_in_S256A_24uM_28C_X,Calpeptin_400uM_in_S256A_24uM_28C_Y
14.216667,9.37407
14.233333,9.37468
14.25,9.37513
14.266667,9.37521
14.283333,9.37581
14.3,9.3768
14.316667,9.37715
14.333333,9.37744
14.35,9.37809
14.366667,9.37898
14.383333,9.37986
14.4,9.37977
14.416667,9.37962
14.433333,9.38001
14.45,9.38046
14.466667,9.38021
14.483333,9.38021
14.5,9.38051
14.516667,9.38096
14.533333,9.3813
14.55,9.38157
14.566667,9.38168
14.583333,9.38124
14.6,9.38091
14.616667,9.38089
14.633333,9.38077
14.65,9.38066
14.666667,9.38055
14.683333,9.38048
14.7,9.38043
14.716667,9.38061
14.733333,9.38091
14.75,9.3805
14.766667,9.38029
14.783333,9.38009
14.8,9.38
14.816667,9.38012
14.833333,9.37997
14.85,9.37974
14.866667,9.37944
14.883333,9.37904
14.9,9.37866
14.916667,9.37856
14.933333,9.3784
14.95,9.37861
14.966667,9.37929
14.983333,9.37972
15,9.38014
15.016667,9.38051
15.033333,9.38109
15.05,9.38175
15.066667,9.38229
15.083333,9.38255
15.1,9.38288
15.116667,9.38317
15.133333,9.38314
15.15,9.38308
15.166667,9.38324
15.183333,9.38366
15.2,9.38427
15.216667,9.38502
15.233333,9.386
15.25,9.38695
15.266667,9.38742
15.283333,9.38801
15.3,9.38844
15.316667,9.38903
15.333333,9.39006
15.35,9.39237
15.366667,9.3938
15.383333,9.3958
15.4,9.39813
15.416667,9.39935
15.433333,9.40012
15.45,9.40092
15.466667,9.40139
15.483333,9.40225
15.5,9.40343
15.516667,9.40317
15.533333,9.40303
15.55,9.40171
15.566667,9.40084
15.583333,9.40033
15.6,9.39917
15.616667,9.39765
15.633333,9.39647
15.65,9.39509
15.666667,9.39283
15.683333,9.39152
15.7,9.39126
15.716667,9.39218
15.733333,9.39353
15.75,9.39337
15.766667,9.39273
15.783333,9.39313
15.8,9.39466
15.816667,9.39699
15.833333,9.39873
15.85,9.39894
15.866667,9.39849
15.883333,9.39824
15.9,9.39942
15.916667,9.40011
15.933333,9.39987
15.95,9.39883
15.966667,9.39684
15.983333,9.39538
16,9.39481
16.016667,9.39503
16.033333,9.39326
16.05,9.38808
16.066667,9.37914
16.083333,9.36922
16.1,9.35971
16.116667,9.35908
16.133333,9.36019
16.15,9.36097
16.166667,9.35695
16.183333,9.34977
16.2,9.34554
16.216667,9.34495
16.233333,9.34704
16.25,9.3487
16.266667,9.35205
16.283333,9.35717
16.3,9.3622
16.316667,9.36702
16.333333,9.37121
16.35,9.37502
16.366667,9.37828
16.383333,9.38071
16.4,9.38198
16.416667,9.38341
16.433333,9.38384
16.45,9.38384
16.466667,9.38398
16.483333,9.38481
16.5,9.38583
16.516667,9.3868
16.533333,9.3873
16.55,9.38785
16.566667,9.38817
16.583333,9.38832
16.6,9.38828
16.616667,9.38841
16.633333,9.38871
16.65,9.38908
16.666667,9.38928
16.683333,9.38956
16.7,9.38981
16.716667,9.3899
16.733333,9.39029
16.75,9.39057
16.766667,9.3906
16.783333,9.39038
16.8,9.39042
16.816667,9.39074
16.833333,9.39086
16.85,9.39059
16.866667,9.39022
16.883333,9.39009
16.9,9.38947
16.916667,9.38881
16.933333,9.38884
16.95,9.38971
16.966667,9.39263
16.983333,9.39441
17,9.39547
17.016667,9.39602
17.033333,9.39567
17.05,9.39453
17.066667,9.3948
17.083333,9.39499
17.1,9.39442
17.116667,9.39344
17.133333,9.39279
17.15,9.39183
17.166667,9.39098
17.183333,9.39102
17.2,9.39166
17.216667,9.39133
17.233333,9.39128
17.25,9.3911
17.266667,9.39114
17.283333,9.39163
17.3,9.39178
17.316667,9.39181
17.333333,9.39173
17.35,9.39243
17.366667,9.3934
17.383333,9.39461
17.4,9.39547
17.416667,9.39569
17.433333,9.39505
17.45,9.39534
17.466667,9.39652
17.483333,9.39628
17.5,9.3952
17.516667,9.39576
17.533333,9.39614
17.55,9.39625
17.566667,9.39597
17.583333,9.39529
17.6,9.39507
17.616667,9.39487
17.633333,9.39458
17.65,9.39383
17.666667,9.39317
17.683333,9.39297
17.7,9.39311
17.716667,9.39329
17.733333,9.3935
17.75,9.39329
17.766667,9.39291
17.783333,9.39269
17.8,9.39261
17.816667,9.39265
17.833333,9.39319
17.85,9.39412
17.866667,9.39504
17.883333,9.39562
17.9,9.39595
17.916667,9.39668
17.933333,9.39756
17.95,9.3983
17.966667,9.39931
17.983333,9.4005
18,9.40053
18.016667,9.3997
18.033333,9.40048
18.05,9.40134
18.066667,9.40066
18.083333,9.39882
18.1,9.39739
18.116667,9.39762
18.133333,9.39756
18.15,9.39728
18.166667,9.39717
18.183333,9.3972
18.2,9.39644
18.216667,9.39568
18.233333,9.39509
18.25,9.39494
18.266667,9.39521
18.283333,9.39477
18.3,9.39424
18.316667,9.39377
18.333333,9.39332
18.35,9.39359
18.366667,9.39394
18.383333,9.39401
18.4,9.39397
18.416667,9.39363
18.433333,9.39375
18.45,9.39454
18.466667,9.39566
18.483333,9.39646
18.5,9.39659
18.516667,9.39908
18.533333,9.40294
18.55,9.39524
18.566667,9.38367
18.583333,9.37148
18.6,9.36461
18.616667,9.36513
18.633333,9.36518
18.65,9.36532
18.666667,9.36272
18.683333,9.35736
18.7,9.35252
18.716667,9.35274
18.733333,9.35487
18.75,9.35618
18.766667,9.35958
18.783333,9.36438
18.8,9.37051
18.816667,9.374
18.833333,9.3811
18.85,9.39241
18.866667,9.39318
18.883333,9.39272
18.9,9.39217
18.916667,9.39298
18.933333,9.39376
18.95,9.39415
18.966667,9.39422
18.983333,9.39431
19,9.39447
19.016667,9.39404
19.033333,9.39359
19.05,9.39356
19.066667,9.39349
19.083333,9.39341
19.1,9.39367
19.116667,9.39356
19.133333,9.39302
19.15,9.39295
19.166667,9.39327
19.183333,9.39382
19.2,9.39402
19.216667,9.39418
19.233333,9.39425
19.25,9.39425
19.266667,9.39416
19.283333,9.39479
19.3,9.39528
19.316667,9.39599
19.333333,9.39672
19.35,9.39755
19.366667,9.39813
19.383333,9.39862
19.4,9.39945
19.416667,9.39995
19.433333,9.39968
19.45,9.3991
19.466667,9.39896
19.483333,9.39914
19.5,9.39956
19.516667,9.39966
19.533333,9.39884
19.55,9.3985
19.566667,9.39845
19.583333,9.3983
19.6,9.39835
19.616667,9.39851
19.633333,9.39868
19.65,9.39839
19.666667,9.39799
19.683333,9.3976
19.7,9.39746
19.716667,9.39768
19.733333,9.39785
19.75,9.39793
19.766667,9.39819
19.783333,9.39861
19.8,9.39871
19.816667,9.3989
19.833333,9.39908
19.85,9.39904
19.866667,9.39873
19.883333,9.39864
19.9,9.39931
19.916667,9.39965
19.933333,9.40285
19.95,9.4054
19.966667,9.4047
19.983333,9.40429
20,9.40457
20.016667,9.40379
20.033333,9.40295
20.05,9.40302
20.066667,9.40314
20.083333,9.40233
20.1,9.40172
20.116667,9.40065
20.133333,9.39974
20.15,9.3994
20.166667,9.39846
20.183333,9.39725
20.2,9.39669
20.216667,9.39634
20.233333,9.39634
20.25,9.39626
20.266667,9.3967
20.283333,9.39712
20.3,9.39729
20.316667,9.39772
20.333333,9.39759
20.35,9.39717
20.366667,9.39756
20.383333,9.39834
20.4,9.39875
20.416667,9.39851
20.433333,9.39855
20.45,9.39918
20.466667,9.39978
20.483333,9.40005
20.5,9.40041
20.516667,9.40092
20.533333,9.4008
20.55,9.40044
20.566667,9.40038
20.583333,9.40029
20.6,9.3996
20.616667,9.39946
20.633333,9.40001
20.65,9.40018
20.666667,9.39959
20.683333,9.39907
20.7,9.39823
20.716667,9.3979
20.733333,9.39824
20.75,9.3985
20.766667,9.3986
20.783333,9.39807
20.8,9.39795
20.816667,9.39828
20.833333,9.39842
20.85,9.39865
20.866667,9.39885
20.883333,9.39864
20.9,9.39864
20.916667,9.39903
20.933333,9.40013
20.95,9.40095
20.966667,9.40071
20.983333,9.39923
21,9.39769
21.016667,9.39847
21.033333,9.3977
21.05,9.39286
21.066667,9.3877
21.083333,9.37793
21.1,9.37072
21.116667,9.36847
21.133333,9.3701
21.15,9.36931
21.166667,9.36955
21.183333,9.36762
21.2,9.36241
21.216667,9.35963
21.233333,9.36054
21.25,9.36315
21.266667,9.3644
21.283333,9.36748
21.3,9.37212
21.316667,9.37612
21.333333,9.37915
21.35,9.38201
21.366667,9.38427
21.383333,9.38584
21.4,9.38788
