overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.034, 1.651,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.859, 1.606,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.769, 1.627,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.796, 1.756,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.295, 2.870,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.535, 2.213,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.171, 1.788,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.942, 1.583,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.780, 1.537,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.694, 1.555,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.722, 1.677,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

3.277, 3.386,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.072, 2.754,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.389, 2.076,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.030, 1.679,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.824, 1.489,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.672, 1.447,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.593, 1.464,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.619, 1.576,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

3.474, 3.461,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.878, 2.611,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.234, 1.931,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.877, 1.558,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.693, 1.379,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.540, 1.339,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.468, 1.354,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.495, 1.457,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

3.400, 3.229,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.593, 2.346,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.015, 1.750,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.689, 1.413,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.524, 1.248,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.395, 1.211,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.326, 1.226,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.351, 1.316,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

3.475, 2.967,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.353, 2.125,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.803, 1.573,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.510, 1.264,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.357, 1.115,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.241, 1.080,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.182, 1.091,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.203, 1.174,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

3.178, 2.797,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.145, 1.947,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.631, 1.436,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.373, 1.152,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.230, 1.014,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.128, 0.982,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.073, 0.992,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.092, 1.065,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

2.842, 2.462,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.879, 1.728,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.435, 1.269,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.206, 1.017,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.084, 0.894,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.993, 0.865,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.945, 0.873,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.959, 0.937,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

2.511, 2.171,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.646, 1.520,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.256, 1.115,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.053, 0.894,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.946, 0.783,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.866, 0.758,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.825, 0.763,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.838, 0.820,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

2.147, 1.886,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.423, 1.329,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.086, 0.970,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.911, 0.776,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.817, 0.678,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.748, 0.657,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.713, 0.660,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.724, 0.707,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

1.865, 1.657,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.232, 1.161,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.941, 0.845,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.788, 0.673,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.706, 0.588,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
0.647, 0.568,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
