overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.109, 3.094, 2.539,     -,     -,     -,     -,     -,     -,     -,     -
2.771, 2.349, 2.437, 3.485,     -,     -,     -,     -,     -,     -,     -,     -
2.271, 1.867, 2.037, 2.141,     -,     -,     -,     -,     -,     -,     -,     -
1.985, 1.640, 1.795, 1.991,     -,     -,     -,     -,     -,     -,     -,     -
1.788, 1.652, 1.727, 1.428,     -,     -,     -,     -,     -,     -,     -,     -
1.688, 1.579, 1.719, 2.177,     -,     -,     -,     -,     -,     -,     -,     -
1.705, 1.670, 1.789, 1.930,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.096, 3.344, 2.588,     -,     -,     -,     -,     -,     -,     -,     -
2.809, 2.384, 2.499, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.318, 1.903, 2.076, 2.178,     -,     -,     -,     -,     -,     -,     -,     -
2.020, 1.678, 1.827, 2.023,     -,     -,     -,     -,     -,     -,     -,     -
1.829, 1.688, 1.767, 1.448,     -,     -,     -,     -,     -,     -,     -,     -
1.727, 1.616, 1.756, 2.224,     -,     -,     -,     -,     -,     -,     -,     -
1.750, 1.704, 1.825, 1.972,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.303, 3.458, 2.618,     -,     -,     -,     -,     -,     -,     -,     -
2.831, 2.421, 2.529, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.341, 1.929, 2.099, 2.202,     -,     -,     -,     -,     -,     -,     -,     -
2.045, 1.703, 1.850, 2.037,     -,     -,     -,     -,     -,     -,     -,     -
1.857, 1.713, 1.786, 1.457,     -,     -,     -,     -,     -,     -,     -,     -
1.751, 1.639, 1.781, 2.249,     -,     -,     -,     -,     -,     -,     -,     -
1.780, 1.733, 1.848, 1.985,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
