Chrom.1		
UV		
ml	mAU	
1.26	-0.003648353	
1.261	-0.003296752	
1.263	-0.002879143	
1.264	-0.002882447	
1.265	-0.003229568	
1.267	-0.002998968	
1.268	-0.003538729	
1.269	-0.003446544	
1.271	-0.002930945	
1.272	-0.003358073	
1.273	-0.003347943	
1.275	-0.003870383	
1.276	-0.004015863	
1.277	-0.003718665	
1.279	-0.003387936	
1.28	-0.003104959	
1.281	-0.002499063	
1.283	-0.001617805	
1.284	-0.001200125	
1.285	-0.001613289	
1.287	-0.001915618	
1.288	-0.001679681	
1.289	-0.001173313	
1.291	-0.0004563309	
1.292	0.0006566138	
1.293	0.001354668	
1.295	0.001804341	
1.296	0.001476233	
1.297	0.001630044	
1.299	0.002690593	
1.3	0.003414958	
1.301	0.003440445	
1.303	0.003141484	
1.304	0.003964554	
1.305	0.00455057	
1.307	0.005515357	
1.308	0.005705531	
1.309	0.005456517	
1.311	0.005596345	
1.312	0.0054931	
1.313	0.005229206	
1.315	0.004890446	
1.316	0.004872407	
1.317	0.005207009	
1.319	0.004875085	
1.32	0.004139569	
1.321	0.004044296	
1.323	0.003083231	
1.324	0.003029384	
1.325	0.003477389	
1.327	0.003740754	
1.328	0.003631052	
1.329	0.003921014	
1.331	0.004366521	
1.332	0.004861649	
1.333	0.005080884	
1.335	0.004780791	
1.336	0.003874266	
1.337	0.003679019	
1.339	0.004563608	
1.34	0.004881965	
1.341	0.005458067	
1.343	0.005409983	
1.344	0.004785123	
1.345	0.004886237	
1.347	0.005617183	
1.348	0.005635569	
1.349	0.004977546	
1.35	0.004346247	
1.352	0.004424433	
1.353	0.004505869	
1.354	0.00391043	
1.356	0.003706804	
1.357	0.003623395	
1.358	0.003041696	
1.36	0.003156347	
1.361	0.002741271	
1.362	0.002309687	
1.364	0.002239612	
1.365	0.001656372	
1.366	0.001383349	
1.368	0.001281941	
1.369	0.0009027146	
1.37	0.000254206	
1.372	-0.0001833416	
1.373	-0.0003244485	
1.374	-0.0002532513	
1.376	-0.0002750264	
1.377	-0.0004283403	
1.378	5.043228E-05	
1.38	-7.504143E-06	
1.381	-0.0002340608	
1.382	-0.0001325822	
1.384	-2.240648E-05	
1.385	0.0001188895	
1.386	0.0005705847	
1.388	0.00121128	
1.389	0.002290527	
1.39	0.003483454	
1.392	0.003484771	
1.393	0.002981251	
1.394	0.002746457	
1.396	0.002056628	
1.397	0.001029803	
1.398	0.0008515127	
1.4	0.0008859201	
1.401	0.001285715	
1.402	0.00225939	
1.404	0.00244533	
1.405	0.00159309	
1.406	0.001272469	
1.408	0.001144659	
1.409	0.001638663	
1.41	0.003034834	
1.412	0.003037134	
1.413	0.001823406	
1.414	0.001504597	
1.416	0.001824944	
1.417	0.001579207	
1.418	0.001129048	
1.42	0.0009332379	
1.421	0.0009875412	
1.422	0.001035499	
1.424	0.0006093982	
1.425	0.0005515383	
1.426	0.000255469	
1.428	0.0002460185	
1.429	0.0008294268	
1.43	0.0006617237	
1.432	0.0002600624	
1.433	-0.0002398395	
1.434	-0.0009956886	
1.436	-0.00101229	
1.437	-0.0007710152	
1.438	-0.0009721412	
1.44	-0.001107666	
1.441	-0.00128871	
1.442	-0.00110227	
1.444	-0.0005855114	
1.445	-0.0007941048	
1.446	-0.0009326511	
1.448	-0.0006863702	
1.449	-0.001036588	
1.45	-0.00159761	
1.452	-0.002315115	
1.453	-0.001944261	
1.454	-0.001413722	
1.456	-0.001904181	
1.457	-0.002569875	
1.458	-0.003125214	
1.46	-0.003572094	
1.461	-0.004013308	
1.462	-0.004391868	
1.464	-0.004621122	
1.465	-0.005121069	
1.466	-0.006181244	
1.468	-0.007212191	
1.469	-0.007707217	
1.47	-0.008358551	
1.472	-0.008552807	
1.473	-0.008327086	
1.474	-0.008429714	
1.476	-0.008771748	
1.477	-0.009884816	
1.478	-0.01030583	
1.48	-0.009513535	
1.481	-0.01012244	
1.482	-0.0109002	
1.484	-0.01051496	
1.485	-0.01057409	
1.486	-0.01134211	
1.488	-0.01134037	
1.489	-0.01133513	
1.49	-0.01135706	
1.491	-0.01138065	
1.493	-0.01128665	
1.494	-0.01083576	
1.495	-0.01109413	
1.497	-0.01126396	
1.498	-0.01141661	
1.499	-0.01155952	
1.501	-0.01159438	
1.502	-0.01153033	
1.503	-0.01138814	
1.505	-0.0112052	
1.506	-0.01100333	
1.507	-0.01057396	
1.509	-0.01056218	
1.51	-0.01063931	
1.511	-0.01070588	
1.513	-0.01032363	
1.514	-0.01050283	
1.515	-0.01105769	
1.517	-0.01074193	
1.518	-0.009787312	
1.519	-0.01074007	
1.521	-0.01144413	
1.522	-0.01156208	
1.523	-0.01190916	
1.525	-0.0122096	
1.526	-0.01160673	
1.527	-0.01143462	
1.529	-0.01146819	
1.53	-0.01096151	
1.531	-0.01121207	
1.533	-0.01087029	
1.534	-0.0105716	
1.535	-0.01053651	
1.537	-0.009768346	
1.538	-0.009358217	
1.539	-0.009663474	
1.541	-0.009446098	
1.542	-0.009032121	
1.543	-0.008986915	
1.545	-0.008836322	
1.546	-0.008955195	
1.547	-0.008923661	
1.549	-0.007669447	
1.55	-0.007709562	
1.551	-0.007640303	
1.553	-0.007463873	
1.554	-0.007580398	
1.555	-0.007731122	
1.557	-0.007573759	
1.558	-0.007453502	
1.559	-0.007324481	
1.561	-0.006961883	
1.562	-0.006397129	
1.563	-0.005461872	
1.565	-0.004726287	
1.566	-0.005215613	
1.567	-0.005394091	
1.569	-0.004992676	
1.57	-0.004945144	
1.571	-0.005051855	
1.573	-0.004563801	
1.574	-0.005032906	
1.575	-0.005982052	
1.577	-0.00661205	
1.578	-0.00671552	
1.579	-0.007467269	
1.581	-0.007644027	
1.582	-0.006780719	
1.583	-0.005913036	
1.585	-0.00582165	
1.586	-0.005162055	
1.587	-0.005611359	
1.589	-0.005110942	
1.59	-0.005368512	
1.591	-0.004858717	
1.593	-0.004911474	
1.594	-0.004881175	
1.595	-0.004580966	
1.597	-0.004593263	
1.598	-0.003503087	
1.599	-0.003195032	
1.601	-0.00342393	
1.602	-0.004111482	
1.603	-0.005280557	
1.605	-0.005597754	
1.606	-0.005290849	
1.607	-0.005349069	
1.609	-0.006130068	
1.61	-0.006094206	
1.611	-0.005303432	
1.613	-0.004856881	
1.614	-0.003987944	
1.615	-0.003801797	
1.617	-0.004178191	
1.618	-0.004309758	
1.619	-0.00412115	
1.621	-0.004558904	
1.622	-0.004912169	
1.623	-0.004777054	
1.625	-0.004910571	
1.626	-0.005034555	
