Chrom.1		Chrom.1 (1)		Chrom.1 (2)		Chrom.1 (3)		Chrom.1 (4)		Chrom.1 (5)		
UV		UV		UV		UV		UV		UV		
ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	
0.243	2.155634	0.242	2.261679	0.243	2.282183	0.243	2.346179	0.243	2.267702	0.243	2.267826	
0.244	2.156501	0.244	2.26231	0.244	2.282712	0.244	2.349404	0.244	2.267222	0.244	2.267459	
0.245	2.157455	0.245	2.262682	0.245	2.283923	0.245	2.35161	0.245	2.266912	0.245	2.267466	
0.247	2.159291	0.246	2.262508	0.247	2.28498	0.247	2.35392	0.247	2.266898	0.247	2.266797	
0.248	2.161092	0.248	2.262167	0.248	2.284873	0.248	2.356721	0.248	2.266982	0.248	2.266727	
0.249	2.161781	0.249	2.261946	0.249	2.28487	0.249	2.359952	0.249	2.26639	0.249	2.266255	
0.251	2.163176	0.25	2.261644	0.251	2.285509	0.251	2.363049	0.251	2.265704	0.251	2.265325	
0.252	2.164804	0.252	2.261406	0.252	2.286677	0.252	2.365784	0.252	2.266052	0.252	2.265327	
0.253	2.165958	0.253	2.261376	0.253	2.287766	0.253	2.368726	0.253	2.266347	0.253	2.26587	
0.255	2.166866	0.254	2.261023	0.255	2.289288	0.255	2.370561	0.255	2.265966	0.255	2.266397	
0.256	2.167357	0.256	2.259935	0.256	2.290513	0.256	2.371966	0.256	2.266076	0.256	2.265667	
0.257	2.168267	0.257	2.258763	0.257	2.290814	0.257	2.374028	0.257	2.266704	0.257	2.265393	
0.259	2.168652	0.258	2.258275	0.259	2.291609	0.259	2.376182	0.259	2.26686	0.259	2.264539	
0.26	2.169429	0.26	2.257378	0.26	2.292646	0.26	2.378724	0.26	2.2672	0.26	2.263298	
0.261	2.171016	0.261	2.256522	0.261	2.293859	0.261	2.381189	0.261	2.267623	0.261	2.262448	
0.263	2.171711	0.262	2.256481	0.263	2.294984	0.263	2.383687	0.263	2.267865	0.263	2.262108	
0.264	2.172671	0.264	2.256582	0.264	2.295648	0.264	2.386366	0.264	2.267783	0.264	2.261841	
0.265	2.173996	0.265	2.256191	0.265	2.295854	0.265	2.388627	0.265	2.267253	0.265	2.261751	
0.267	2.175613	0.266	2.255658	0.267	2.296098	0.267	2.390508	0.267	2.266809	0.267	2.261867	
0.268	2.177561	0.268	2.255076	0.268	2.297143	0.268	2.392297	0.268	2.266834	0.268	2.26229	
0.269	2.179501	0.269	2.254164	0.269	2.29803	0.269	2.394781	0.269	2.266085	0.269	2.262518	
0.271	2.181266	0.27	2.253684	0.271	2.29789	0.271	2.397991	0.271	2.264966	0.271	2.262267	
0.272	2.182535	0.272	2.253768	0.272	2.297659	0.272	2.400672	0.272	2.264644	0.272	2.262257	
0.273	2.183818	0.273	2.253723	0.273	2.29815	0.273	2.402973	0.273	2.264262	0.273	2.261629	
0.275	2.185188	0.274	2.253604	0.275	2.298847	0.275	2.40462	0.275	2.263752	0.275	2.260567	
0.276	2.186695	0.276	2.253136	0.276	2.300091	0.276	2.406129	0.276	2.263027	0.276	2.259918	
0.277	2.18854	0.277	2.252875	0.277	2.301264	0.277	2.407913	0.277	2.262638	0.277	2.260239	
0.279	2.190613	0.278	2.252682	0.279	2.3018	0.279	2.409743	0.279	2.262702	0.279	2.260679	
0.28	2.192492	0.28	2.252398	0.28	2.302355	0.28	2.411805	0.28	2.262857	0.28	2.260341	
0.281	2.194564	0.281	2.252805	0.281	2.303288	0.281	2.414631	0.281	2.263214	0.281	2.259651	
0.283	2.197086	0.282	2.25288	0.283	2.304552	0.283	2.416799	0.283	2.263164	0.283	2.258964	
0.284	2.199122	0.284	2.252305	0.284	2.305267	0.284	2.4183	0.284	2.262594	0.284	2.257664	
0.285	2.200815	0.285	2.252408	0.285	2.306025	0.285	2.419911	0.285	2.262118	0.285	2.256849	
0.287	2.202277	0.286	2.252716	0.287	2.306156	0.287	2.421445	0.287	2.262211	0.287	2.256696	
0.288	2.204109	0.288	2.252997	0.288	2.306594	0.288	2.423061	0.288	2.262005	0.288	2.256594	
0.289	2.205606	0.289	2.25356	0.289	2.307233	0.289	2.424744	0.289	2.261378	0.289	2.256108	
0.291	2.206685	0.29	2.254307	0.291	2.307379	0.291	2.426253	0.291	2.260761	0.291	2.25488	
0.292	2.207558	0.292	2.253539	0.292	2.308204	0.292	2.427514	0.292	2.260081	0.292	2.254435	
0.293	2.208534	0.293	2.253306	0.293	2.308653	0.293	2.42924	0.293	2.259771	0.293	2.255095	
0.295	2.210092	0.294	2.25266	0.295	2.308724	0.295	2.431153	0.295	2.259246	0.295	2.255502	
0.296	2.211613	0.296	2.252146	0.296	2.308607	0.296	2.43288	0.296	2.25849	0.296	2.255312	
0.297	2.213109	0.297	2.252005	0.297	2.308894	0.297	2.433926	0.297	2.258117	0.297	2.255568	
0.299	2.214532	0.298	2.251686	0.299	2.309459	0.299	2.434615	0.299	2.25727	0.299	2.255542	
0.3	2.216361	0.3	2.250402	0.3	2.309568	0.3	2.436054	0.3	2.256587	0.3	2.255416	
0.301	2.218448	0.301	2.250134	0.301	2.309447	0.301	2.437619	0.301	2.25713	0.301	2.254933	
0.303	2.220157	0.302	2.249917	0.303	2.309332	0.303	2.439273	0.303	2.257121	0.303	2.254216	
0.304	2.22118	0.304	2.248809	0.304	2.309399	0.304	2.441252	0.304	2.256019	0.304	2.253109	
0.305	2.222315	0.305	2.248172	0.305	2.30874	0.305	2.442305	0.305	2.255319	0.305	2.252658	
0.306	2.224138	0.306	2.247208	0.307	2.307594	0.307	2.443082	0.307	2.255137	0.307	2.252445	
0.308	2.226123	0.308	2.246331	0.308	2.307344	0.308	2.443752	0.308	2.254907	0.308	2.25238	
0.309	2.228123	0.309	2.246401	0.309	2.307814	0.309	2.444108	0.309	2.254511	0.309	2.252212	
0.31	2.229558	0.31	2.246418	0.311	2.308629	0.311	2.444975	0.31	2.253834	0.311	2.251656	
0.312	2.230224	0.312	2.245631	0.312	2.309035	0.312	2.446125	0.312	2.253309	0.312	2.251273	
0.313	2.231067	0.313	2.244874	0.313	2.309084	0.313	2.44691	0.313	2.252897	0.313	2.25105	
0.314	2.232064	0.314	2.24442	0.315	2.309291	0.315	2.448727	0.314	2.252082	0.315	2.250173	
0.316	2.234024	0.316	2.244049	0.316	2.309186	0.316	2.450767	0.316	2.251877	0.316	2.249043	
0.317	2.235907	0.317	2.243745	0.317	2.309419	0.317	2.452035	0.317	2.25158	0.317	2.248861	
0.318	2.237766	0.318	2.244004	0.318	2.308938	0.318	2.452666	0.318	2.250222	0.319	2.24861	
0.32	2.239713	0.32	2.243572	0.32	2.308176	0.32	2.453141	0.32	2.249079	0.32	2.247046	
0.321	2.241024	0.321	2.243522	0.321	2.307927	0.321	2.453949	0.321	2.249033	0.321	2.245324	
0.322	2.243011	0.322	2.243777	0.322	2.308029	0.322	2.455281	0.322	2.248755	0.323	2.244828	
