Chrom.1 (5)		Chrom.1		Chrom.1 (1)		Chrom.1 (2)		Chrom.1 (3)		Chrom.1 (4)		
UV		UV		UV		UV		UV		UV		
ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	
0.115	-0.1207372	0.115	-0.357927	0.115	-0.2013214	0.115	-0.1872757	0.115	-0.1589022	0.115	-0.1471425	
0.116	-0.1212722	0.116	-0.3547735	0.116	-0.2013782	0.116	-0.1878058	0.116	-0.1595832	0.116	-0.1471058	
0.118	-0.1214671	0.118	-0.3507232	0.118	-0.2019897	0.117	-0.1876209	0.118	-0.1600213	0.118	-0.147378	
0.119	-0.1210897	0.119	-0.3456835	0.119	-0.2016006	0.119	-0.1879334	0.119	-0.1607912	0.119	-0.1472429	
0.12	-0.1216407	0.12	-0.3416036	0.12	-0.2022033	0.12	-0.1878483	0.12	-0.1620152	0.12	-0.1480821	
0.122	-0.1216885	0.122	-0.3369331	0.122	-0.202157	0.121	-0.1878094	0.122	-0.1627538	0.122	-0.1484744	
0.123	-0.1218821	0.123	-0.3323769	0.123	-0.2029469	0.123	-0.1882455	0.123	-0.1627894	0.123	-0.1481867	
0.124	-0.1226977	0.124	-0.3285907	0.124	-0.2045509	0.124	-0.1867547	0.124	-0.1640313	0.124	-0.1477742	
0.126	-0.1238246	0.126	-0.3249745	0.126	-0.2054114	0.125	-0.1865727	0.126	-0.1645023	0.126	-0.1464881	
0.127	-0.1237874	0.127	-0.3210996	0.127	-0.2057893	0.127	-0.1859463	0.127	-0.16405	0.127	-0.1467896	
0.128	-0.1229496	0.128	-0.3164653	0.128	-0.2066595	0.128	-0.185598	0.128	-0.1637486	0.128	-0.1469704	
0.13	-0.1226586	0.13	-0.3117098	0.13	-0.2071441	0.129	-0.1852653	0.13	-0.1628338	0.13	-0.147136	
0.131	-0.1228588	0.131	-0.3077627	0.131	-0.2069708	0.131	-0.1842831	0.131	-0.1618515	0.131	-0.1474163	
0.132	-0.1221808	0.132	-0.3039021	0.132	-0.2061052	0.132	-0.1841697	0.132	-0.1609308	0.132	-0.1468944	
0.134	-0.1228609	0.134	-0.2992868	0.134	-0.2066969	0.133	-0.184446	0.134	-0.1606292	0.134	-0.1463979	
0.135	-0.1222606	0.135	-0.293663	0.135	-0.2067913	0.135	-0.1839479	0.135	-0.1604067	0.135	-0.1459622	
0.136	-0.1209945	0.136	-0.2888261	0.136	-0.2069633	0.136	-0.1837978	0.136	-0.1610344	0.136	-0.1458785	
0.138	-0.1217258	0.138	-0.2831474	0.138	-0.2070186	0.137	-0.182993	0.138	-0.1617213	0.138	-0.1462703	
0.139	-0.122115	0.139	-0.2773321	0.139	-0.2062404	0.139	-0.1828265	0.139	-0.1619074	0.139	-0.146104	
0.14	-0.1223445	0.14	-0.2716962	0.14	-0.2067301	0.14	-0.1815682	0.14	-0.1611935	0.14	-0.1458293	
0.142	-0.1219164	0.142	-0.2654607	0.142	-0.2073468	0.141	-0.1803977	0.142	-0.1606389	0.142	-0.146014	
0.143	-0.121674	0.143	-0.2598048	0.143	-0.2065218	0.143	-0.1794928	0.143	-0.1600284	0.143	-0.1462588	
0.144	-0.121391	0.144	-0.2546348	0.144	-0.2069847	0.144	-0.1788269	0.144	-0.1588081	0.144	-0.1463841	
0.146	-0.121247	0.146	-0.2495899	0.146	-0.2070134	0.145	-0.1778854	0.146	-0.1572537	0.146	-0.1463976	
0.147	-0.1207792	0.147	-0.2442625	0.147	-0.206414	0.147	-0.176762	0.147	-0.1560947	0.147	-0.1456947	
0.148	-0.1200896	0.148	-0.2386502	0.148	-0.2058677	0.148	-0.1762985	0.148	-0.1555757	0.148	-0.1452617	
0.15	-0.1194826	0.15	-0.2328432	0.15	-0.2060738	0.149	-0.1753158	0.15	-0.1548767	0.15	-0.1448396	
0.151	-0.1183786	0.151	-0.2270903	0.151	-0.2056878	0.151	-0.1748312	0.151	-0.1543109	0.151	-0.1444028	
0.152	-0.1168133	0.152	-0.2212882	0.152	-0.2049077	0.152	-0.1743285	0.152	-0.1539638	0.152	-0.1431332	
0.154	-0.115293	0.154	-0.2155394	0.154	-0.2039694	0.153	-0.173336	0.154	-0.1535166	0.154	-0.1427304	
